index,id,title,genres,overview,release_date,credits,poster_path
107,718930,Bullet Train,Action Comedy Thriller,Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate however may have other plans as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected yet conflicting objectives—on the world's fastest train.,2022-07-03,BradPitt JoeyKing AaronTaylor Johnson BrianTyreeHenry,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg
109,675353,Sonic the Hedgehog 2,Action Adventure Family Comedy,After settling in Green Hills Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns this time with a new partner Knuckles in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick Tails and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.,2022-04-08,JamesMarsden BenSchwartz TikaSumpter NatashaRothwell AdamPally,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
111,19995,Avatar,Action Adventure Fantasy Science Fiction,In the 22nd century a paraplegic Marine is dispatched to the moon Pandora on a unique mission but becomes torn between following orders and protecting an alien civilization.,2009-12-15,SamWorthington ZoeSaldaña StephenLang MichelleRodriguez SigourneyWeaver,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
112,338958,Disenchanted,Comedy Family Fantasy,Disillusioned with life in the city feeling out of place in suburbia and frustrated that her happily ever after hasn’t been so easy to find Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.,2022-11-18,AmyAdams PatrickDempsey MayaRudolph GabriellaBaldacchino JamesMarsden,/uyNLq2Dc3s4IOdcYTU8ZtM2lTjb.jpg
118,568124,Encanto,Animation Comedy Family Fantasy,The tale of an extraordinary family the Madrigals who live hidden in the mountains of Colombia in a magical house in a vibrant town in a wondrous charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one Mirabel. But when she discovers that the magic surrounding the Encanto is in danger Mirabel decides that she the only ordinary Madrigal might just be her exceptional family's last hope.,2021-10-13,StephanieBeatriz MaríaCeciliaBotero JohnLeguizamo MauroCastillo JessicaDarrow,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg
119,634649,Spider-Man: No Way Home,Action Adventure Science Fiction,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.,2021-12-15,TomHolland Zendaya BenedictCumberbatch JacobBatalon JonFavreau,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg
123,324786,Hacksaw Ridge,Drama History War,WWII American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.,2016-10-07,AndrewGarfield SamWorthington VinceVaughn TeresaPalmer LukeBracey,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg
124,703451,Your Place or Mine,Romance Comedy,When best friends and total opposites Debbie and Peter swap homes for a week they get a peek into each other's lives that could open the door to love.,2023-02-10,ReeseWitherspoon AshtonKutcher JesseWilliams ZoëChao SteveZahn,/ApkSeqfIPRCxOtfjXYYE6Ji7jVU.jpg
126,438148,Minions: The Rise of Gru,Animation Comedy Family,A fanboy of a supervillain supergroup known as the Vicious 6 Gru hatches a plan to become evil enough to join them with the backup of his followers the Minions.,2022-06-29,PierreCoffin SteveCarell RussellBrand AlanArkin TarajiP.Henson,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg
128,766507,Prey,Thriller Action Science Fiction,When danger threatens her camp the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.,2022-08-02,AmberMidthunder DakotaBeavers MichelleThrush StormeeKipp JulianBlackAntelope,/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg
